player,season,team,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Paul Dummett,2015-2016,Newcastle Utd,23,23,1892,21.0,1,0,1,1,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0.05,0.0,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0
Nathan Dyer,2015-2016,Swansea City,1,0,19,0.2,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,4.74,4.74,0.0,4.74,0.0,0.0,0.0,0.0,0.0
Nathan Dyer,2015-2016,Leicester City,12,0,220,2.4,1,0,1,1,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.41,0.0,0.41,0.41,0.41,0.0,0.0,0.0,0.0,0.0
Éder,2015-2016,Swansea City,13,2,276,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rob Elliot,2015-2016,Newcastle Utd,21,21,1890,21.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohamed Elneny,2015-2016,Arsenal,11,9,792,8.8,0,1,1,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0.0,0.11,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0
Tommy Elphick,2015-2016,Bournemouth,12,11,1013,11.3,1,0,1,1,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.09,0.0,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0
Emmanuel Emenike,2015-2016,West Ham,13,5,512,5.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marvin Emnes,2015-2016,Swansea City,2,1,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Eriksen,2015-2016,Tottenham,35,33,2933,32.6,6,13,19,6,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.18,0.4,0.58,0.18,0.58,0.0,0.0,0.0,0.0,0.0
