player,season,team,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Jérémie Bréchet,2010-2011,Sochaux,20,20,1800,20.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jimmy Briand,2010-2011,Lyon,33,22,2100,23.3,6,7,13,6,0,0,6,0,0.0,0.0,0.0,0.0,0,0,0.26,0.3,0.56,0.26,0.56,0.0,0.0,0.0,0.0,0.0
Jonathan Brison,2010-2011,Nancy,34,28,2530,28.1,0,3,3,0,0,0,5,0,0.0,0.0,0.0,0.0,0,0,0.0,0.11,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0
Moïse Brou Apanga,2010-2011,Brest,30,28,2590,28.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frédéric Bulot,2010-2011,Monaco,8,3,315,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Édouard Butin,2010-2011,Sochaux,18,5,515,5.7,2,1,3,2,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.35,0.17,0.52,0.35,0.52,0.0,0.0,0.0,0.0,0.0
Yohan Cabaye,2010-2011,Lille,36,36,3080,34.2,2,9,11,2,0,2,10,0,0.0,0.0,0.0,0.0,0,0,0.06,0.26,0.32,0.06,0.32,0.0,0.0,0.0,0.0,0.0
Rémy Cabella,2010-2011,Arles-Avignon,17,5,681,7.6,3,0,3,3,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.4,0.0,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0
Abdoul Camara,2010-2011,Rennes,24,5,773,8.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Souleymane Camara,2010-2011,Montpellier,36,28,2471,27.5,4,2,6,4,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0.15,0.07,0.22,0.15,0.22,0.0,0.0,0.0,0.0,0.0
Zoumana Camara,2010-2011,Paris S-G,17,14,1379,15.3,2,1,3,2,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.13,0.07,0.2,0.13,0.2,0.0,0.0,0.0,0.0,0.0
Alain Cantareil,2010-2011,Nice,4,1,99,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Étienne Capoue,2010-2011,Toulouse,37,37,3330,37.0,2,0,2,2,0,0,5,0,0.0,0.0,0.0,0.0,0,0,0.05,0.0,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0
Lionel Cappone,2010-2011,Lorient,11,9,834,9.3,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlão,2010-2011,Sochaux,24,19,1710,19.0,1,0,1,1,0,0,6,0,0.0,0.0,0.0,0.0,0,0,0.05,0.0,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0
Cédric Carrasso,2010-2011,Bordeaux,35,34,3096,34.4,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Johann Carrasso,2010-2011,Rennes,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fernando Cavenaghi,2010-2011,Bordeaux,2,2,161,1.8,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.56,0.56,0.0,0.56,0.0,0.0,0.0,0.0,0.0
Ceará,2010-2011,Paris S-G,20,14,1240,13.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauro Cetto,2010-2011,Toulouse,25,25,2158,24.0,4,0,4,4,0,0,6,0,0.0,0.0,0.0,0.0,0,0,0.17,0.0,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0
Sébastien Chabbert,2010-2011,Monaco,6,4,437,4.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kamel Chafni,2010-2011,Auxerre,22,16,1386,15.4,1,2,3,1,0,0,7,0,0.0,0.0,0.0,0.0,0,0,0.06,0.13,0.19,0.06,0.19,0.0,0.0,0.0,0.0,0.0
Aatif Chahechouhe,2010-2011,Nancy,5,1,165,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matthieu Chalmé,2010-2011,Bordeaux,20,18,1636,18.2,0,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clément Chantôme,2010-2011,Paris S-G,26,26,2285,25.4,2,0,2,2,0,0,9,0,0.0,0.0,0.0,0.0,0,0,0.08,0.0,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.0
Angelos Charisteas,2010-2011,Arles-Avignon,6,3,326,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aurélien Chedjou,2010-2011,Lille,34,31,2733,30.4,1,0,1,1,0,0,6,0,0.0,0.0,0.0,0.0,0,0,0.03,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0
Éric Chelle,2010-2011,Lens,16,15,1311,14.6,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Evan Chevalier,2010-2011,Bordeaux,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benoît Cheyrou,2010-2011,Marseille,34,27,2464,27.4,3,6,9,3,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.11,0.22,0.33,0.11,0.33,0.0,0.0,0.0,0.0,0.0
Michaël Chrétien,2010-2011,Nancy,26,26,2163,24.0,0,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Park Chu-young,2010-2011,Monaco,33,32,2842,31.6,12,0,12,8,4,5,3,0,0.0,0.0,0.0,0.0,0,0,0.38,0.0,0.38,0.25,0.25,0.0,0.0,0.0,0.0,0.0
Michaël Ciani,2010-2011,Bordeaux,29,27,2425,26.9,3,0,3,3,0,0,10,0,0.0,0.0,0.0,0.0,0,0,0.11,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0
Édouard Cissé,2010-2011,Marseille,23,21,1743,19.4,0,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aly Cissokho,2010-2011,Lyon,29,29,2507,27.9,1,1,2,1,0,0,1,2,0.0,0.0,0.0,0.0,0,0,0.04,0.04,0.07,0.04,0.07,0.0,0.0,0.0,0.0,0.0
Renato Civelli,2010-2011,Nice,31,31,2723,30.3,3,0,3,3,0,0,12,2,0.0,0.0,0.0,0.0,0,0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0
Jérémy Clément,2010-2011,Paris S-G,24,8,962,10.7,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
François Clerc,2010-2011,Nice,29,29,2593,28.8,1,1,2,1,0,0,5,0,0.0,0.0,0.0,0.0,0,0,0.03,0.03,0.07,0.03,0.07,0.0,0.0,0.0,0.0,0.0
Alexandre Coeff,2010-2011,Lens,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renaud Cohade,2010-2011,Valenciennes,31,27,2432,27.0,0,9,9,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0.0,0.33,0.33,0.0,0.33,0.0,0.0,0.0,0.0,0.0
Xavier Collin,2010-2011,Montpellier,3,2,170,1.9,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Congré,2010-2011,Toulouse,37,37,3330,37.0,2,1,3,2,0,0,5,0,0.0,0.0,0.0,0.0,0,0,0.05,0.03,0.08,0.05,0.08,0.0,0.0,0.0,0.0,0.0
Roy Contout,2010-2011,Auxerre,29,25,2189,24.3,3,5,8,3,0,0,6,0,0.0,0.0,0.0,0.0,0,0,0.12,0.21,0.33,0.12,0.33,0.0,0.0,0.0,0.0,0.0
Francis Coquelin,2010-2011,Lorient,24,13,1178,13.1,1,1,2,1,0,0,2,1,0.0,0.0,0.0,0.0,0,0,0.08,0.08,0.15,0.08,0.15,0.0,0.0,0.0,0.0,0.0
Emmanuel Corrèze,2010-2011,Arles-Avignon,8,4,396,4.4,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adama Coulibaly,2010-2011,Auxerre,38,38,3420,38.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
