player,season,team,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Fernando Gago,2010-2011,Real Madrid,4,1,99,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ernesto Galán,2010-2011,Espanyol,22,21,1833,20.4,1,0,1,1,0,0,4,1,0.0,0.0,0.0,0.0,0,0,0.05,0.0,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0
Rodrigo Galatto,2010-2011,Málaga,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jesús Gámez,2010-2011,Málaga,30,30,2576,28.6,0,4,4,0,0,0,9,1,0.0,0.0,0.0,0.0,0,0,0.0,0.14,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.0
Ezequiel Garay,2010-2011,Real Madrid,5,4,330,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ayoze García,2010-2011,Sporting Gijón,13,6,560,6.2,1,0,1,0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0.16,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos García,2010-2011,Almería,33,33,2942,32.7,1,0,1,1,0,0,8,1,0.0,0.0,0.0,0.0,0,0,0.03,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0
David García,2010-2011,Espanyol,17,16,1298,14.4,0,1,1,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0.0,0.07,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.0
Jorge García,2010-2011,Sporting Gijón,5,2,218,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luis García,2010-2011,Espanyol,37,36,2968,33.0,6,7,13,2,4,4,8,0,0.0,0.0,0.0,0.0,0,0,0.18,0.21,0.39,0.06,0.27,0.0,0.0,0.0,0.0,0.0
Raúl García,2010-2011,Atlético Madrid,29,18,1582,17.6,1,2,3,1,0,0,7,0,0.0,0.0,0.0,0.0,0,0,0.06,0.11,0.17,0.06,0.17,0.0,0.0,0.0,0.0,0.0
Sergio García,2010-2011,Espanyol,21,13,1171,13.0,3,1,4,3,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0.23,0.08,0.31,0.23,0.31,0.0,0.0,0.0,0.0,0.0
Manolo Gaspar,2010-2011,Málaga,9,7,727,8.1,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mario Gaspar,2010-2011,Villarreal,22,20,1833,20.4,1,1,2,1,0,0,5,0,0.0,0.0,0.0,0.0,0,0,0.05,0.05,0.1,0.05,0.1,0.0,0.0,0.0,0.0,0.0
Jaime Gavilán,2010-2011,Getafe,18,15,1248,13.9,2,4,6,2,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.14,0.29,0.43,0.14,0.43,0.0,0.0,0.0,0.0,0.0
